Experimento,Algoritmo,Rodada,Loss,Acurácia,K (Selecionados),D (Candidatos),Clientes Totais
FedAvg (Aleatório k=3),Random Selection,1,0.29500269331038,0.9190999954938889,3,N/A,20
FedAvg (Aleatório k=3),Random Selection,2,0.17421253668991002,0.9479999921538613,3,N/A,20
FedAvg (Aleatório k=3),Random Selection,3,0.1896160500124097,0.9440000057220459,3,N/A,20
FedAvg (Aleatório k=3),Random Selection,4,0.16536929383873938,0.9515999972820282,3,N/A,20
FedAvg (Aleatório k=3),Random Selection,5,0.11364326849579812,0.9675999939441681,3,N/A,20
FedAvg (Aleatório k=3),Random Selection,6,0.13943184800446035,0.9610000014305115,3,N/A,20
FedAvg (Aleatório k=3),Random Selection,7,0.14544373070821165,0.9567999899387359,3,N/A,20
FedAvg (Aleatório k=3),Random Selection,8,0.15666944459080695,0.9555999994277954,3,N/A,20
FedAvg (Aleatório k=3),Random Selection,9,0.13153979256749154,0.9638000011444092,3,N/A,20
FedAvg (Aleatório k=3),Random Selection,10,0.10016585737466813,0.9709999978542327,3,N/A,20
FedAvg (Aleatório k=3),Random Selection,11,0.0952827451750636,0.9729999959468841,3,N/A,20
FedAvg (Aleatório k=3),Random Selection,12,0.13000812232494355,0.9662000119686127,3,N/A,20
FedAvg (Aleatório k=3),Random Selection,13,0.12195591483679083,0.9679999947547913,3,N/A,20
FedAvg (Aleatório k=3),Random Selection,14,0.07538516167551279,0.9797777798440721,3,N/A,20
FedAvg (Aleatório k=3),Random Selection,15,0.09882146389120156,0.9746666616863675,3,N/A,20
"PoC (d=10, k=3)",Power of Choice,1,0.27682747058570384,0.9166000008583068,3,10,20
"PoC (d=10, k=3)",Power of Choice,2,0.2375267202203924,0.9285454641688954,3,10,20
"PoC (d=10, k=3)",Power of Choice,3,0.10807784750229782,0.965777768029107,3,10,20
"PoC (d=10, k=3)",Power of Choice,4,0.13519592210650444,0.9598000049591064,3,10,20
"PoC (d=10, k=3)",Power of Choice,5,0.17265361025929452,0.9479999959468841,3,10,20
"PoC (d=10, k=3)",Power of Choice,6,0.14514286667108536,0.9570000052452088,3,10,20
"PoC (d=10, k=3)",Power of Choice,7,0.150507846288383,0.9569999933242798,3,10,20
"PoC (d=10, k=3)",Power of Choice,8,0.14601982720196247,0.9601999938488006,3,10,20
"PoC (d=10, k=3)",Power of Choice,9,0.1353853654116392,0.9639999985694885,3,10,20
"PoC (d=10, k=3)",Power of Choice,10,0.10607472658157349,0.9712000012397766,3,10,20
"PoC (d=10, k=3)",Power of Choice,11,0.1139614307321608,0.9699999988079071,3,10,20
"PoC (d=10, k=3)",Power of Choice,12,0.11000856384634972,0.972000002861023,3,10,20
"PoC (d=10, k=3)",Power of Choice,13,0.14168207512961495,0.9644444386164347,3,10,20
"PoC (d=10, k=3)",Power of Choice,14,0.10415232926607132,0.9737777643733554,3,10,20
"PoC (d=10, k=3)",Power of Choice,15,0.09996951692220238,0.9735555582576327,3,10,20
"PoC (d=20, k=3)",Power of Choice,1,0.26632213161179896,0.9251578889395061,3,20,20
"PoC (d=20, k=3)",Power of Choice,2,0.1840252961963415,0.9442000031471253,3,20,20
"PoC (d=20, k=3)",Power of Choice,3,0.16525086760520935,0.9513999879360199,3,20,20
"PoC (d=20, k=3)",Power of Choice,4,0.15060478057712318,0.9580000042915344,3,20,20
"PoC (d=20, k=3)",Power of Choice,5,0.12950077578425406,0.9644000053405761,3,20,20
"PoC (d=20, k=3)",Power of Choice,6,0.13252257518470287,0.9610000014305115,3,20,20
"PoC (d=20, k=3)",Power of Choice,7,0.11931911110877991,0.9673999965190887,3,20,20
"PoC (d=20, k=3)",Power of Choice,8,0.15590597689151764,0.9618000090122223,3,20,20
"PoC (d=20, k=3)",Power of Choice,9,0.1314549297094345,0.9680000007152557,3,20,20
"PoC (d=20, k=3)",Power of Choice,10,0.20063949525356292,0.9523999989032745,3,20,20
"PoC (d=20, k=3)",Power of Choice,11,0.16919232569634915,0.964000004529953,3,20,20
"PoC (d=20, k=3)",Power of Choice,12,0.1338497526012361,0.9683999955654145,3,20,20
"PoC (d=20, k=3)",Power of Choice,13,0.17209363356232643,0.9635555545488993,3,20,20
"PoC (d=20, k=3)",Power of Choice,14,0.19074567572938073,0.9622222185134888,3,20,20
"PoC (d=20, k=3)",Power of Choice,15,0.18098861910402775,0.9633333351877,3,20,20
